DATE,RSGASSN
1992-01-01,12099
1992-02-01,11580
1992-03-01,12272
1992-04-01,12443
1992-05-01,13449
1992-06-01,13427
1992-07-01,13874
1992-08-01,13825
1992-09-01,13140
1992-10-01,13663
1992-11-01,13064
1992-12-01,13488
1993-01-01,12527
1993-02-01,12060
1993-03-01,13163
1993-04-01,13377
1993-05-01,14089
1993-06-01,13999
1993-07-01,14447
1993-08-01,14121
1993-09-01,13376
1993-10-01,13961
1993-11-01,13520
1993-12-01,13736
1994-01-01,12714
1994-02-01,12293
1994-03-01,13647
1994-04-01,13645
1994-05-01,14351
1994-06-01,14720
1994-07-01,15138
1994-08-01,15596
1994-09-01,14722
1994-10-01,14856
1994-11-01,14536
1994-12-01,15004
1995-01-01,13871
1995-02-01,13212
1995-03-01,14757
1995-04-01,14630
1995-05-01,15945
1995-06-01,16207
1995-07-01,16057
1995-08-01,16217
1995-09-01,15194
1995-10-01,15157
1995-11-01,14681
1995-12-01,15185
1996-01-01,14473
1996-02-01,14159
1996-03-01,15616
1996-04-01,16024
1996-05-01,17428
1996-06-01,16957
1996-07-01,17039
1996-08-01,17271
1996-09-01,15975
1996-10-01,16671
1996-11-01,16237
1996-12-01,16575
1997-01-01,15956
1997-02-01,14912
1997-03-01,16562
1997-04-01,16364
1997-05-01,17316
1997-06-01,17049
1997-07-01,17478
1997-08-01,17733
1997-09-01,16791
1997-10-01,17162
1997-11-01,16006
1997-12-01,16371
1998-01-01,15235
1998-02-01,14063
1998-03-01,15358
1998-04-01,15687
1998-05-01,16780
1998-06-01,16730
1998-07-01,17294
1998-08-01,16818
1998-09-01,15859
1998-10-01,16410
1998-11-01,15373
1998-12-01,16120
1999-01-01,15115
1999-02-01,14270
1999-03-01,16298
1999-04-01,17201
1999-05-01,17908
1999-06-01,17923
1999-07-01,19120
1999-08-01,19278
1999-09-01,18559
1999-10-01,18967
1999-11-01,18232
1999-12-01,19653
2000-01-01,17693
2000-02-01,18294
2000-03-01,20819
2000-04-01,19768
2000-05-01,21214
2000-06-01,22242
2000-07-01,22264
2000-08-01,22138
2000-09-01,21668
2000-10-01,21712
2000-11-01,20898
2000-12-01,21106
2001-01-01,20089
2001-02-01,18935
2001-03-01,20797
2001-04-01,21661
2001-05-01,23850
2001-06-01,23244
2001-07-01,22072
2001-08-01,22653
2001-09-01,21379
2001-10-01,20434
2001-11-01,18437
2001-12-01,17832
2002-01-01,17504
2002-02-01,16704
2002-03-01,19833
2002-04-01,21106
2002-05-01,22228
2002-06-01,21666
2002-07-01,22981
2002-08-01,23131
2002-09-01,21378
2002-10-01,22265
2002-11-01,20887
2002-12-01,20936
2003-01-01,21204
2003-02-01,20852
2003-03-01,23872
2003-04-01,22829
2003-05-01,23293
2003-06-01,22801
2003-07-01,23994
2003-08-01,24965
2003-09-01,23400
2003-10-01,23645
2003-11-01,21946
2003-12-01,22386
2004-01-01,22773
2004-02-01,22554
2004-03-01,25602
2004-04-01,26207
2004-05-01,28578
2004-06-01,28403
2004-07-01,29286
2004-08-01,28729
2004-09-01,27351
2004-10-01,29544
2004-11-01,27676
2004-12-01,27303
2005-01-01,25566
2005-02-01,24982
2005-03-01,29380
2005-04-01,30549
2005-05-01,31151
2005-06-01,31862
2005-07-01,33888
2005-08-01,36204
2005-09-01,36260
2005-10-01,36557
2005-11-01,31260
2005-12-01,31264
2006-01-01,30800
2006-02-01,29253
2006-03-01,33887
2006-04-01,36002
2006-05-01,39016
2006-06-01,39126
2006-07-01,40585
2006-08-01,41051
2006-09-01,34830
2006-10-01,33208
2006-11-01,31556
2006-12-01,32662
2007-01-01,30922
2007-02-01,29762
2007-03-01,35603
2007-04-01,36677
2007-05-01,41378
2007-06-01,40481
2007-07-01,40696
2007-08-01,40387
2007-09-01,37675
2007-10-01,39425
2007-11-01,39802
2007-12-01,39014
2008-01-01,38690
2008-02-01,37616
2008-03-01,42226
2008-04-01,43663
2008-05-01,48512
2008-06-01,50085
2008-07-01,51728
2008-08-01,49068
2008-09-01,45182
2008-10-01,40625
2008-11-01,29869
2008-12-01,26375
2009-01-01,26541
2009-02-01,25620
2009-03-01,28450
2009-04-01,29437
2009-05-01,32958
2009-06-01,35945
2009-07-01,36339
2009-08-01,36980
2009-09-01,34348
2009-10-01,35025
2009-11-01,34342
2009-12-01,35249
2010-01-01,34145
2010-02-01,31888
2010-03-01,37234
2010-04-01,38297
2010-05-01,39168
2010-06-01,38208
2010-07-01,39054
2010-08-01,38541
2010-09-01,37170
2010-10-01,38480
2010-11-01,37073
2010-12-01,39091
2011-01-01,38018
2011-02-01,36669
2011-03-01,44349
2011-04-01,45853
2011-05-01,48245
2011-06-01,47514
2011-07-01,48200
2011-08-01,48320
2011-09-01,45443
2011-10-01,45115
2011-11-01,42976
2011-12-01,42755
2012-01-01,41406
2012-02-01,42218
2012-03-01,48397
2012-04-01,47664
2012-05-01,49198
2012-06-01,46483
2012-07-01,46658
2012-08-01,50195
2012-09-01,47201
2012-10-01,48983
2012-11-01,44434
2012-12-01,42582
2013-01-01,41695
2013-02-01,42099
2013-03-01,47534
2013-04-01,46561
2013-05-01,48878
2013-06-01,48122
2013-07-01,49408
2013-08-01,49105
2013-09-01,45607
2013-10-01,46017
2013-11-01,41921
2013-12-01,42666
2014-01-01,42140
2014-02-01,40169
2014-03-01,45803
2014-04-01,46741
2014-05-01,49976
2014-06-01,48014
2014-07-01,49143
2014-08-01,48672
2014-09-01,45486
2014-10-01,45437
2014-11-01,40213
2014-12-01,36996
2015-01-01,32445
2015-02-01,31583
2015-03-01,36772
2015-04-01,37070
2015-05-01,41253
2015-06-01,41820
2015-07-01,42875
2015-08-01,40935
2015-09-01,36631
2015-10-01,37020
2015-11-01,33023
2015-12-01,32600
2016-01-01,30010
2016-02-01,27976
2016-03-01,32385
2016-04-01,33978
2016-05-01,37335
2016-06-01,38495
2016-07-01,38153
2016-08-01,37147
2016-09-01,36306
2016-10-01,37271
2016-11-01,34198
2016-12-01,35446
2017-01-01,34230
2017-02-01,32572
2017-03-01,37222
2017-04-01,37573
2017-05-01,39339
2017-06-01,38609
2017-07-01,38397
2017-08-01,39817
2017-09-01,39946
2017-10-01,40317
2017-11-01,38786
2017-12-01,38646
2018-01-01,37823
2018-02-01,35977
2018-03-01,41248
2018-04-01,41709
2018-05-01,46649
2018-06-01,46146
2018-07-01,46591
2018-08-01,47433
2018-09-01,44189
2018-10-01,46929
